source_url,source_url_text,source_link_caption,target_url,target_url_text,target_link_caption,domain,depth,status_code,content_type,html_filename
http://www.cornica.org/amiga/amiga-at-hp/,Amiga at Hewlett-Packard &mdash; Cornica,Amiga at Hewlett-Packard,http://www.cornica.org/amiga/amiga-at-hp/#top,Amiga at Hewlett-Packard &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga_at_hp__top.html
http://www.cornica.org/amiga-at-hp/,Amiga at Hewlett-Packard &mdash; Cornica,,http://www.cornica.org/amiga-at-hp/#top,Amiga at Hewlett-Packard &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga_at_hp__top.html
http://www.cornica.org/videos/amiga/,Amiga &mdash; Cornica,Amiga,http://www.cornica.org/amiga-users-group-palo-alto/,Amiga Users Group in Palo Alto &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_amiga_users_group_palo_alto_.html
http://www.cornica.org/amiga-users-group-palo-alto/,Amiga Users Group in Palo Alto &mdash; Cornica,,http://www.cornica.org/amiga/amiga-users-group-palo-alto/,Amiga Users Group in Palo Alto &mdash; Cornica,Amiga Users Group in Palo Alto,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga_users_group_palo_alto_.html
http://www.cornica.org/amiga/amiga-users-group-palo-alto/,Amiga Users Group in Palo Alto &mdash; Cornica,Amiga Users Group in Palo Alto,http://www.cornica.org/amiga/amiga-users-group-palo-alto/#top,Amiga Users Group in Palo Alto &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga_users_group_palo_alto__top.html
http://www.cornica.org/amiga-users-group-palo-alto/,Amiga Users Group in Palo Alto &mdash; Cornica,,http://www.cornica.org/amiga-users-group-palo-alto/#top,Amiga Users Group in Palo Alto &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga_users_group_palo_alto__top.html
http://www.cornica.org/videos/,Videos &mdash; Cornica,Videos,http://www.cornica.org/apple/,Apple &mdash; Cornica,,www.cornica.org,4,200,text/html; charset=utf-8,http___www_cornica_org_apple_.html
http://www.cornica.org/apple/,Apple &mdash; Cornica,,http://www.cornica.org/videos/apple/,Apple &mdash; Cornica,Apple,www.cornica.org,5,200,text/html; charset=utf-8,http___www_cornica_org_videos_apple_.html
http://www.cornica.org/videos/apple/,Apple &mdash; Cornica,Apple,http://www.cornica.org/pippin-at-cebit/,Apple's Pippin at CeBit &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_pippin_at_cebit_.html
http://www.cornica.org/pippin-at-cebit/,Apple's Pippin at CeBit &mdash; Cornica,,http://www.cornica.org/apple/pippin-at-cebit/,Apple's Pippin at CeBit &mdash; Cornica,Apple's Pippin at CeBit,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_pippin_at_cebit_.html
http://www.cornica.org/apple/pippin-at-cebit/,Apple's Pippin at CeBit &mdash; Cornica,Apple's Pippin at CeBit,http://www.cornica.org/apple/pippin-at-cebit/#top,Apple's Pippin at CeBit &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_apple_pippin_at_cebit__top.html
http://www.cornica.org/pippin-at-cebit/,Apple's Pippin at CeBit &mdash; Cornica,,http://www.cornica.org/pippin-at-cebit/#top,Apple's Pippin at CeBit &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_pippin_at_cebit__top.html
http://www.cornica.org/videos/apple/,Apple &mdash; Cornica,Apple,http://www.cornica.org/mac-store-vr/,Mac Store VR &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_mac_store_vr_.html
http://www.cornica.org/mac-store-vr/,Mac Store VR &mdash; Cornica,,http://www.cornica.org/videos/history/,History &mdash; Cornica,History,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_videos_history_.html
http://www.cornica.org/videos/history/,History &mdash; Cornica,History,http://www.cornica.org/tokyo1968/,A Day in Tokyo 1968 &mdash; Cornica,,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_tokyo1968_.html
http://www.cornica.org/tokyo1968/,A Day in Tokyo 1968 &mdash; Cornica,,http://www.cornica.org/history/tokyo1968/,A Day in Tokyo 1968 &mdash; Cornica,A Day in Tokyo 1968,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_history_tokyo1968_.html
http://www.cornica.org/videos/history/,History &mdash; Cornica,History,http://www.cornica.org/apollo11/,Apollo 11 landing &mdash; Cornica,,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_apollo11_.html
http://www.cornica.org/apollo11/,Apollo 11 landing &mdash; Cornica,,http://www.cornica.org/history/apollo11/,Apollo 11 landing &mdash; Cornica,Apollo 11 landing,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_history_apollo11_.html
http://www.cornica.org/history/apollo11/,Apollo 11 landing &mdash; Cornica,Apollo 11 landing,http://www.cornica.org/history/apollo11/#top,Apollo 11 landing &mdash; Cornica,back to top,www.cornica.org,10,200,text/html; charset=utf-8,http___www_cornica_org_history_apollo11__top.html
http://www.cornica.org/apollo11/,Apollo 11 landing &mdash; Cornica,,http://www.cornica.org/apollo11/#top,Apollo 11 landing &mdash; Cornica,back to top,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_apollo11__top.html
http://www.cornica.org/videos/history/,History &mdash; Cornica,History,http://www.cornica.org/american-civil-war-in-colour/,American Civil War in colour &mdash; Cornica,,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_american_civil_war_in_colour_.html
http://www.cornica.org/american-civil-war-in-colour/,American Civil War in colour &mdash; Cornica,,http://www.cornica.org/history/american-civil-war-in-colour/,American Civil War in colour &mdash; Cornica,American Civil War in colour,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_history_american_civil_war_in_colour_.html
http://www.cornica.org/history/american-civil-war-in-colour/,American Civil War in colour &mdash; Cornica,American Civil War in colour,http://www.cornica.org/history/american-civil-war-in-colour/#top,American Civil War in colour &mdash; Cornica,back to top,www.cornica.org,10,200,text/html; charset=utf-8,http___www_cornica_org_history_american_civil_war_in_colour__top.html
http://www.cornica.org/american-civil-war-in-colour/,American Civil War in colour &mdash; Cornica,,http://www.cornica.org/american-civil-war-in-colour/#top,American Civil War in colour &mdash; Cornica,back to top,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_american_civil_war_in_colour__top.html
http://www.cornica.org/videos/history/,History &mdash; Cornica,History,http://www.cornica.org/bay-area-earthquake/,Bay Area Earthquake (Loma Prieta) &mdash; Cornica,,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_bay_area_earthquake_.html
http://www.cornica.org/bay-area-earthquake/,Bay Area Earthquake (Loma Prieta) &mdash; Cornica,,http://www.cornica.org/history/bay-area-earthquake/,Bay Area Earthquake (Loma Prieta) &mdash; Cornica,Bay Area Earthquakes,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_history_bay_area_earthquake_.html
http://www.cornica.org/history/bay-area-earthquake/,Bay Area Earthquake (Loma Prieta) &mdash; Cornica,Bay Area Earthquakes,http://www.cornica.org/history/bay-area-earthquake/#top,Bay Area Earthquake (Loma Prieta) &mdash; Cornica,back to top,www.cornica.org,10,200,text/html; charset=utf-8,http___www_cornica_org_history_bay_area_earthquake__top.html
http://www.cornica.org/bay-area-earthquake/,Bay Area Earthquake (Loma Prieta) &mdash; Cornica,,http://www.cornica.org/bay-area-earthquake/#top,Bay Area Earthquake (Loma Prieta) &mdash; Cornica,back to top,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_bay_area_earthquake__top.html
http://www.cornica.org/videos/history/,History &mdash; Cornica,History,http://www.cornica.org/berlin-wall/,The Berlin Wall takedown &mdash; Cornica,,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_berlin_wall_.html
http://www.cornica.org/berlin-wall/,The Berlin Wall takedown &mdash; Cornica,,http://www.cornica.org/history/berlin-wall/,The Berlin Wall takedown &mdash; Cornica,The Berlin Wall,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_history_berlin_wall_.html
http://www.cornica.org/history/berlin-wall/,The Berlin Wall takedown &mdash; Cornica,The Berlin Wall,http://www.cornica.org/history/berlin-wall/#top,The Berlin Wall takedown &mdash; Cornica,back to top,www.cornica.org,10,200,text/html; charset=utf-8,http___www_cornica_org_history_berlin_wall__top.html
http://www.cornica.org/berlin-wall/,The Berlin Wall takedown &mdash; Cornica,,http://www.cornica.org/berlin-wall/#top,The Berlin Wall takedown &mdash; Cornica,back to top,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_berlin_wall__top.html
http://www.cornica.org/videos/history/,History &mdash; Cornica,History,http://www.cornica.org/black-monday/,Black Monday 1987 &mdash; Cornica,,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_black_monday_.html
http://www.cornica.org/black-monday/,Black Monday 1987 &mdash; Cornica,,http://www.cornica.org/history/black-monday/,Black Monday 1987 &mdash; Cornica,Black Monday 1987,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_history_black_monday_.html
http://www.cornica.org/history/black-monday/,Black Monday 1987 &mdash; Cornica,Black Monday 1987,http://www.cornica.org/history/black-monday/#top,Black Monday 1987 &mdash; Cornica,back to top,www.cornica.org,10,200,text/html; charset=utf-8,http___www_cornica_org_history_black_monday__top.html
http://www.cornica.org/black-monday/,Black Monday 1987 &mdash; Cornica,,http://www.cornica.org/black-monday/#top,Black Monday 1987 &mdash; Cornica,back to top,www.cornica.org,9,200,text/html; charset=utf-8,http___www_cornica_org_black_monday__top.html
http://www.cornica.org/mac-store-vr/,Mac Store VR &mdash; Cornica,,http://www.cornica.org/history/mac-store-vr/,Mac Store VR &mdash; Cornica,Mac Store VR,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_history_mac_store_vr_.html
http://www.cornica.org/history/mac-store-vr/,Mac Store VR &mdash; Cornica,Mac Store VR,http://www.cornica.org/history/mac-store-vr/#top,Mac Store VR &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_history_mac_store_vr__top.html
http://www.cornica.org/mac-store-vr/,Mac Store VR &mdash; Cornica,,http://www.cornica.org/mac-store-vr/#top,Mac Store VR &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_mac_store_vr__top.html
http://www.cornica.org/videos/apple/,Apple &mdash; Cornica,Apple,http://www.cornica.org/apple-file-servers/,Apple File Servers &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_apple_file_servers_.html
http://www.cornica.org/apple-file-servers/,Apple File Servers &mdash; Cornica,,http://www.cornica.org/apple/apple-file-servers/,Apple File Servers &mdash; Cornica,Apple File Servers,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_file_servers_.html
http://www.cornica.org/apple/apple-file-servers/,Apple File Servers &mdash; Cornica,Apple File Servers,http://www.cornica.org/apple/apple-file-servers/#top,Apple File Servers &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_file_servers__top.html
http://www.cornica.org/apple-file-servers/,Apple File Servers &mdash; Cornica,,http://www.cornica.org/apple-file-servers/#top,Apple File Servers &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_file_servers__top.html
http://www.cornica.org/videos/apple/,Apple &mdash; Cornica,Apple,http://www.cornica.org/apple-goes-intel/,Apples goes Intel &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_apple_goes_intel_.html
http://www.cornica.org/apple-goes-intel/,Apples goes Intel &mdash; Cornica,,http://www.cornica.org/apple/apple-goes-intel/,Apples goes Intel &mdash; Cornica,Apples goes Intel,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_goes_intel_.html
http://www.cornica.org/apple/apple-goes-intel/,Apples goes Intel &mdash; Cornica,Apples goes Intel,http://www.cornica.org/apple/apple-goes-intel/#top,Apples goes Intel &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_goes_intel__top.html
http://www.cornica.org/apple-goes-intel/,Apples goes Intel &mdash; Cornica,,http://www.cornica.org/apple-goes-intel/#top,Apples goes Intel &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_goes_intel__top.html
http://www.cornica.org/videos/apple/,Apple &mdash; Cornica,Apple,http://www.cornica.org/apple-icon-garden/,Apple Icon Garden &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_apple_icon_garden_.html
http://www.cornica.org/apple-icon-garden/,Apple Icon Garden &mdash; Cornica,,http://www.cornica.org/apple/apple-icon-garden/,Apple Icon Garden &mdash; Cornica,Apple Icon Garden,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_icon_garden_.html
http://www.cornica.org/apple/apple-icon-garden/,Apple Icon Garden &mdash; Cornica,Apple Icon Garden,http://www.cornica.org/apple/apple-icon-garden/#top,Apple Icon Garden &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_icon_garden__top.html
http://www.cornica.org/apple-icon-garden/,Apple Icon Garden &mdash; Cornica,,http://www.cornica.org/apple-icon-garden/#top,Apple Icon Garden &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_icon_garden__top.html
http://www.cornica.org/videos/apple/,Apple &mdash; Cornica,Apple,http://www.cornica.org/apple-music-store/,Apple Music Store &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_apple_music_store_.html
http://www.cornica.org/apple-music-store/,Apple Music Store &mdash; Cornica,,http://www.cornica.org/apple/apple-music-store/,Apple Music Store &mdash; Cornica,Apple Music Store,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_music_store_.html
http://www.cornica.org/apple/apple-music-store/,Apple Music Store &mdash; Cornica,Apple Music Store,http://www.cornica.org/apple/apple-music-store/#top,Apple Music Store &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_apple_apple_music_store__top.html
http://www.cornica.org/apple-music-store/,Apple Music Store &mdash; Cornica,,http://www.cornica.org/apple-music-store/#top,Apple Music Store &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_apple_music_store__top.html
http://www.cornica.org/videos/,Videos &mdash; Cornica,Videos,http://www.cornica.org/commercials/,Commercials &mdash; Cornica,,www.cornica.org,4,200,text/html; charset=utf-8,http___www_cornica_org_commercials_.html
http://www.cornica.org/commercials/,Commercials &mdash; Cornica,,http://www.cornica.org/videos/commercials/,Commercials &mdash; Cornica,Commercials,www.cornica.org,5,200,text/html; charset=utf-8,http___www_cornica_org_videos_commercials_.html
http://www.cornica.org/videos/commercials/,Commercials &mdash; Cornica,Commercials,http://www.cornica.org/1984/,1984 - The commercial &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_1984_.html
http://www.cornica.org/1984/,1984 - The commercial &mdash; Cornica,,http://www.cornica.org/commercials/1984/,1984 - The commercial &mdash; Cornica,1984 - The commercial,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_commercials_1984_.html
http://www.cornica.org/videos/commercials/,Commercials &mdash; Cornica,Commercials,http://www.cornica.org/20thmac,20th Anniversary Mac &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_20thmac.html
http://www.cornica.org/20thmac,20th Anniversary Mac &mdash; Cornica,,http://www.cornica.org/commercials/20thmac/,20th Anniversary Mac &mdash; Cornica,20th Anniversary Mac,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_commercials_20thmac_.html
http://www.cornica.org/commercials/20thmac/,20th Anniversary Mac &mdash; Cornica,20th Anniversary Mac,http://www.cornica.org/commercials/20thmac/#top,20th Anniversary Mac &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_commercials_20thmac__top.html
http://www.cornica.org/20thmac,20th Anniversary Mac &mdash; Cornica,,http://www.cornica.org/20thmac#top,20th Anniversary Mac &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_20thmac_top.html
http://www.cornica.org/videos/commercials/,Commercials &mdash; Cornica,Commercials,http://www.cornica.org/pizzas/,3 Pizzas &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_pizzas_.html
http://www.cornica.org/pizzas/,3 Pizzas &mdash; Cornica,,http://www.cornica.org/commercials/pizzas/,3 Pizzas &mdash; Cornica,3 Pizzas,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_commercials_pizzas_.html
http://www.cornica.org/commercials/pizzas/,3 Pizzas &mdash; Cornica,3 Pizzas,http://www.cornica.org/commercials/pizzas/#top,3 Pizzas &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_commercials_pizzas__top.html
http://www.cornica.org/pizzas/,3 Pizzas &mdash; Cornica,,http://www.cornica.org/pizzas/#top,3 Pizzas &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_pizzas__top.html
http://www.cornica.org/videos/commercials/,Commercials &mdash; Cornica,Commercials,http://www.cornica.org/adidas-unstoppable/,Adidas - Unstoppable &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_adidas_unstoppable_.html
http://www.cornica.org/adidas-unstoppable/,Adidas - Unstoppable &mdash; Cornica,,http://www.cornica.org/commercials/adidas-unstoppable/,Adidas - Unstoppable &mdash; Cornica,Adidas - Unstoppable,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_commercials_adidas_unstoppable_.html
http://www.cornica.org/commercials/adidas-unstoppable/,Adidas - Unstoppable &mdash; Cornica,Adidas - Unstoppable,http://www.cornica.org/commercials/adidas-unstoppable/#top,Adidas - Unstoppable &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_commercials_adidas_unstoppable__top.html
http://www.cornica.org/adidas-unstoppable/,Adidas - Unstoppable &mdash; Cornica,,http://www.cornica.org/adidas-unstoppable/#top,Adidas - Unstoppable &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_adidas_unstoppable__top.html
http://www.cornica.org/videos/commercials/,Commercials &mdash; Cornica,Commercials,http://www.cornica.org/adobe-premiere/,Adobe Premiere commercial &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_adobe_premiere_.html
http://www.cornica.org/adobe-premiere/,Adobe Premiere commercial &mdash; Cornica,,http://www.cornica.org/commercials/adobe-premiere/,Adobe Premiere commercial &mdash; Cornica,Adobe Premiere commercial,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_commercials_adobe_premiere_.html
http://www.cornica.org/commercials/adobe-premiere/,Adobe Premiere commercial &mdash; Cornica,Adobe Premiere commercial,http://www.cornica.org/commercials/adobe-premiere/#top,Adobe Premiere commercial &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_commercials_adobe_premiere__top.html
http://www.cornica.org/adobe-premiere/,Adobe Premiere commercial &mdash; Cornica,,http://www.cornica.org/adobe-premiere/#top,Adobe Premiere commercial &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_adobe_premiere__top.html
http://www.cornica.org/videos/commercials/,Commercials &mdash; Cornica,Commercials,http://www.cornica.org/airport/,Airport - watch the skies &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_airport_.html
http://www.cornica.org/airport/,Airport - watch the skies &mdash; Cornica,,http://www.cornica.org/commercials/airport/,Airport - watch the skies &mdash; Cornica,Airport - watch the skies,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_commercials_airport_.html
http://www.cornica.org/commercials/airport/,Airport - watch the skies &mdash; Cornica,Airport - watch the skies,http://www.cornica.org/commercials/airport/#top,Airport - watch the skies &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_commercials_airport__top.html
